Name,Rank,Work Field,Website,Publication Count,Publications
Dilan Kuruyer,Doktora,Sosyal Bilgiler Eğitimi,https://dergipark.org.tr/tr/pub/@dilan-kuruyer-708308,4,"Afet eğitiminde coğrafi bir miras olarak afet müzeleri; COVİD-19 SÜRECİNDE AFET VE BİYOLOJİK AFETLERE YÖNELİK GÖRÜŞLER; Ortaokul Öğrencilerinin Afet Bilinci Algı Düzeylerinin Belirlenmesi; Sosyal Bilgiler Öğretmen Adaylarının Tablo, Grafik ve Diyagram Çizme ve Yorumlama Becerisine İlişkin Görüşleri"
Ali Sırrı Yılmaz,Doç. Dr.,"Bilgi ve Bilim Sosyolojisi, Çalışma Sosyolojisi, Siyaset Sosyolojisi, Sosyolojide Niceliksel Yöntemler, Sosyolojide Niteliksel Yöntemler, Yönetim Sosyolojisi",https://dergipark.org.tr/tr/pub/@alisirri,3,ELAZIĞ’DA SOSYAL BİR KALKINMA HAMLESİ: GİRİŞİMCİLİK EĞİTİM KURSU; Bir sosyal bilimler meslek yüksekokulu öğrencilerinin uyku kalitesi ve etkileyen faktörlerin değerlendirilmesi; POSTMODERNİZM VE KENT
Abayhan Buran,Arş. Gör.,"Biyomühendislik, Biyomateryaller, Atık Yönetimi, Azaltma, Yeniden Kullanım ve Geri Dönüşüm, Kompozit ve Hibrit Malzemeler, Tarımda Bitki Biyoteknolojisi",https://dergipark.org.tr/tr/pub/@abayhanburan,5,"Kauçuk ağacı (Ficus elastica) yaprağı takviyeli epoksi kompozitin termofiziksel özelliklerinin belirlenmesi; TÜRKİYE'DE YETİŞTİRİLEN CITRUS MAXIMA (ŞADOK) MEYVESİNİN ATIK KISIMLARINDAKİ ANTİOKSİDAN, FENOLİK VE FLAVONOİD MADDE MİKTARLARININ BELİRLENMESİ; Farklı büyüme düzenleyici kombinasyonlarda yetiştirilen Lavandula officinalis (lavanta) kalluslarının fenolik ve flavonoid miktarları ve antioksidan kapasitesi; Süs Kızılcığı Takviyeli Polyester-Epoksi Hibrit Kompozit  Üretimi ve Karakterizasyonu Öz; AĞIR METAL (Cu2+, Cd2+) STRESİ UYGULANAN Lavandula angustifolia (LAVANTA) VE Salvia rosmarinus (BİBERİYE) BİTKİLERİNİN TOPLAM FENOLİK, ANTİOKSİDAN, KLOROFİL VE KAROTENOİD MİKTARININ BELİRLENMESİ"
Hatice Kara,Dr. Arş. Gör.,Maden Yatakları ve Jeokimya,https://dergipark.org.tr/tr/pub/@drhaticekara,6,"Guleman Kromit Yatağı Çevresindeki İnci Çayı Sedimentlerindeki Metal Kirliliğinin Temel Değer ve Ortalama Yerkabuğu Değerleri Tarafından Değerlendirilmesi (Alacakaya-Elazığ), Türkiye; Keban ve Malatya Metamorfitleri’ne Ait Organik Madde İçeren Kayaçların İz ve Nadir Toprak Element Jeokimyası; Doğanşehir (Malatya)’da ki Barit Cevherleşmelerinin Kökeni: İz ve Nadir Toprak Element, İzotop ve Sıvı Kapanım Bulguları; Metaboksitlerin Pb İzotopik Özellikleri Üzerine Bir Çalışma (Milas-Muğla-Türkiye); Doğanşehir-Eskiköy (Malatya) Bölgesindeki Neojen Yaşlı (?) Volkanik Kayaçların Petrografik, Jeokimyasal ve Petrolojik Özellikleri; Görgü Pb-Zn Yatağı Civarındaki Maden Atıklarının Yüzey ve Yeraltı Sularına Etkisi (Malatya-Türkiye)"
Ömer Faruk Taş,Arş. Gör.,Deprem Mühendisliği,https://dergipark.org.tr/tr/pub/@omer-faruk-tas,6,6 Şubat 2023 Kahramanmaraş Depremleri Sonrası Malatya İlinde Bulunan Betonarme Binaların ve Çelik Yapıların Hasar Durumlarının İncelenmesi; Betonarme Prefabrik Endüstri Yapılarının 6 Şubat 2023 Depremleri Sonrası Hasarlarının İncelenmesi; Türkiye Bina Deprem Yönetmeliği 2018’e (TBDY-2018) göre betonarme bir binanın perde elemanlarının hasar sınır bölgelerinin tespit edilmesi; 2023 Kahramanmaraş depremleri sonrası Malatya ilinde yer alan yığma binaların hasar mekanizmasının incelenmesi; Yeni Betonarme Binalar için Etkin Kesit Rijitlikleri ve Statik İtme Analizleri; 6 Şubat 2023 Kahramanmaraş Depremleri Sonrasında Betonarme Kolonlarda Enine Donatı Kusurlarının İncelenmesi
Muhammed Atar,Dr. Öğr. Üyesi,"Çelik Yapılar, Deprem Mühendisliği, İnşaat Mühendisliğinde Sayısal Modelleme, Yapı Dinamiği, İnşaat Mühendisliği (Diğer)",https://dergipark.org.tr/tr/pub/@muhammedatar1223,6,6 Şubat 2023 Kahramanmaraş Depremleri Sonrası Malatya İlinde Bulunan Betonarme Binaların ve Çelik Yapıların Hasar Durumlarının İncelenmesi; Yapısal Dayanıklılığın Artırılması: Çelik T-Bağlantılar İçin Yeni Çelik Manşon Yöntemi; Betonarme Prefabrik Endüstri Yapılarının 6 Şubat 2023 Depremleri Sonrası Hasarlarının İncelenmesi; 2023 Kahramanmaraş depremleri sonrası Malatya ilinde yer alan yığma binaların hasar mekanizmasının incelenmesi; Çelik Taban Plaka ile Manşonlu Ankraj Çubuğu Bağlantılarının Performans Değerlendirmesi; 6 Şubat 2023 Kahramanmaraş Depremleri Sonrasında Betonarme Kolonlarda Enine Donatı Kusurlarının İncelenmesi
Handan Haykır,Dr. Öğr. Üyesi,"Basın Çalışmaları, Atatürk İlkeleri İnkılap Tarihi",https://dergipark.org.tr/tr/pub/@handanhaykir,3,Tek Parti Döneminde Samsun’da Cumhuriyet Bayramı Kutlamaları (1934-1950); TEK PARTİ DÖNEMİNDE URFA'DA CUMHURİYET BAYRAMI KUTLAMALARI (1934-1945); 1927 NÜFUS SAYIMINA GÖRE ERZURUM VİLAYETİ’NİN NÜFUS ÖZELLİKLERİ
Pelin Demir,Dr.,"Veteriner Bilimleri, Veteriner Gıda Hijyeni ve Teknolojisi",https://dergipark.org.tr/tr/pub/@pelin.demir,8,Elazığ İlinde Satılan Çiğ Süt ve UHT Sütlerde Aflatoksin M1 Düzeyi; Dondurma Üretiminde Bal Kabağı Kullanımı ve Kalite Üzerine Etkisi; Et ve Et Ürünleri Harcında Kullanılan Bazı Bitkisel Ürünlerin Histolojik  Yapıları; Ticari kefirlerin bazı kalite parametrelerinin incelenmesi; Bisfenol A (BFA) ve Halk Sağlığı Açısından Önemi; YEM VE GIDALARLA HAYATIMIZA GİREN AFLATOKSİNLERİ ÖNLEME YÖNTEMLERİ; Elazığ’da Açıkta Satılan Baharatların Kimyasal Kalitesi; Peynir teknolojisinde modifiye atmosfer paketleme
Ayhan Ünlü,Prof. Dr.,"Doğal Kaynak Yönetimi, Çevre Mühendisliği, Atıksu Arıtma Süreçleri",https://dergipark.org.tr/tr/pub/@ayhanunlu,6,"KENTLEŞMEDE ÇEVRE FAKTÖRLERİNİN ÖNEMİ VE ELAZIĞ KENTİ ÖRNEĞİ; ELAZIĞ ORGANİZE SANAYİ BÖLGESİ VE HAYVAN ÜRÜNLERİ ORGANİZE SANAYİ BÖLGESİ ATIKSULARININ DEĞERLENDİRİLMESİ; DOĞU ANADOLU BÖLGESİNİN BİYOKÜTLE POTANSİYELİ VE ENERJİ ÜRETİMİ; Zeytinyağı Üretim Atıksularının Özellikleri, Çevresel Etkileri ve Arıtım Teknolojileri; HAZAR GÖLÜ SU KALİTESİNİN ZAMANLA DEĞİŞİMİ; Farklı Çamur Yaşlarında Anaerobik/Aerobik/Anoksik Ardışık Kesikli Reaktörde Nutrient Giderimi"
Bahar Demirel,Prof.,Yapı Malzemeleri,https://dergipark.org.tr/tr/pub/@bdemirel23,7,MİNERAL KATKI KULLANIMININ KARBON FİBER TAKVİYELİ HAFİF BETONDAKİ ETKİLERİ; Determination of Mechanical Properties of the Concrete Affected by High Temperature by Destructive and Non-Destructive Test Methods; Valorisation of the Effect of Waste Aluminum Sawdust on Concrete: Durability Characteristics and Environmental Impacts; ATIK CAM TOZU KATKILI BETONLARIN YÜKSEK SICAKLIK ALTINDAKİ PERFORMANSLARININ İNCELENMESİ; KARBON FİBER TAKVİYELİ BETONDA FARKLI FİBER BOYUNUN KAPİLARİTEYE ETKİSİ; Farklı Su Bağlayıcı ve Kimyasal Katkı Oranlarına Sahip Yüksek Dayanımlı Betonların İşlenebilirlik ve Dayanım Özellikleri; An Evaluation of the Effect of Waste Aluminum Sawdust on the Carbonation of Concrete
Abdylla Orazsahedov,Dr.,"Orta Asya Tarihi, İslam Tarihi",https://dergipark.org.tr/tr/pub/@abdylla.orazsahedov,4,"Türk-İslâm Şehri Gürgenç ve Moğol İstilasındaki Akıbeti; TÜRKMENİSTAN’DA İÇ SAVAŞ ( 1918-1920 YILLARI); GELDİYEV, MUHAMMET (1928). DAYHAAN ELİİPBİİSİ; İSLÂM’IN İLK SANCAKTÂRI BÜREYDE BİN HUSAYB EL-ESLEMÎ’NİN HAYATI"
Leyla Kalender,Prof. Dr.,Maden Yatakları ve Jeokimya,https://dergipark.org.tr/tr/pub/@leylakalender,6,"Keban ve Karakaya Barajları arası Fırat Nehri'nin kıyı sedimentleri ve su jeokimyası özellikleri; Palu ve Keban Baraj Gölü Arası, Fırat Nehri Kıyı Sedimanlarının Jeokimyasal Özellikleri ve Endüstriyel Hammadde Olarak Kullanılabilirliğinin İncelenmesi; Yoğunağaç-Karakoçan ve Dedebeğ-Mazgirt sıcak ve mineralli sularının  Peri Çayı Suyu üzerine etkileri; Metaboksitlerin Pb İzotopik Özellikleri Üzerine Bir Çalışma (Milas-Muğla-Türkiye); Görgü (Malatya-Türkiye) Pb-Zn Yatağının Eski İmalat Pasalarının Jeokimyası; Görgü Pb-Zn Yatağı Civarındaki Maden Atıklarının Yüzey ve Yeraltı Sularına Etkisi (Malatya-Türkiye)"
Mikail Tel,Bilinmiyor,Spor Sosyolojisi,https://dergipark.org.tr/tr/pub/@mikailtel_1091,7,TÜRK TOPLUM YAŞANTISINDA FAİR PLAY; ÇEVRESEL FAKTÖRLERDEKİ DEĞİŞİMİN SERBEST ZAMAN FAALİYETLERİNE ETKİLERİ; DOKTORLARIN BOŞ ZAMAN ETKİNLİĞİNE KATILMA DURUMLARININ İNCELENMESİ; ATATÜRK’ÜN BEDEN EĞİTİMİ VE SPORA BAKIŞI; TEKNOLOJİK GELİŞİM İLE SERBEST ZAMAN FAALİYETLERİ İLİŞKİSİ; Taekwondoya Yeni Başlayan 10-12 Yaş Çocuklara Uygulanan 8 Haftalık Core Egzersizlerinin Bazı Performans Parametreleri Üzerine Etkilerinin Belirlenmesi; Günlük Yerel Gazetelerde Sporun Yer Alışı (Elazığ İli Örneği)
Elif Akgün,Dr. Arş. Gör.,Genel Jeoloji,https://dergipark.org.tr/tr/pub/@elif_akgun,4,"6 Şubat 2023 Pazarcık (Kahramanmaraş) depreminin Doğu Anadolu Fay Zonu Erkenek ve Pazarcık Segmentleri Üzerindeki Etkisi: Çelikhan-Gölbaşı (Adıyaman) Arasından Gözlemler; 6 Şubat 2023 (Mw:7.6) Ekinözü Depremi Yüzey Kırığının Çığlık Fayı  (Malatya-Doğanşehir-Eskiköy) Boyunca Karakteristik Analizi; 6 Şubat 2023 Kahramanmaraş Pazarcık (Mw: 7,7) depremi ışığında Doğu Anadolu Fay Zonu Erkenek Segmentinin Kinematik Analizi / The Kinematics of Active Crustal Deformation in the Erkenek Segment of the Eastern Anatolian Fault Zone Using Comprehensive Surface Rupture Analysis from the February 6, 2023 Earthquake (Mw 7.7); Aktif Tektonikte Uzaktan Algılama Uygulamaları: Doğu Anadolu Fay Zonu’ndan Bir Örnek"
M. Fatih Karahüseyinoğlu,Prof. Dr.,Spor Sosyolojisi,https://dergipark.org.tr/tr/pub/@karahuseyinoglu,4,FİTNESS MERKEZLERİNE GİDEN BİREYLERİN ZAYIFLAMA HAPLARINA YÖNELİK TUTUMLARININ İNCELENMESİ; PLYOMETRİK ANTRENMANIN GENÇ FUTBOLCULARIN ANAEROBİK GÜÇLERİNE ETKİSİ; ÜNİVERSİTE ÖĞRENCİLERİNİN SPORA YÖNELİK TUTUMLARININ İNCELENMESİ: FIRAT ÜNİVERSİTESİ ÖRNEĞİ; TUTUKLU VE HÜKÜMLÜLERİN FUTBOL TAKİP DÜZEYLERİ
Burkay Yakar,Bilinmiyor,Family Medicine,https://dergipark.org.tr/tr/pub/@byakar1981,2,Polikistik over sendromu tanılı hastalarda borderline kişilik bozukluğu görülme sıklığı ve agresyon ile ilişkisi; Kronik Böbrek Yetmezliği Olan Hastalarda Antihipertansif İlaç Tedavisine Uyum Oranları ve Etkileyen Faktörlerin Araştırılması
Mehmet Polat,Dr. Öğr. Üyesi,"Electrical Machines and Drives, Power Electronics, Mechatronics Engineering",https://dergipark.org.tr/tr/pub/@mpolat_1061,4,Investigation of the effect of stator and rotor pole ratios on torque and efficiency in Inverted Switched Reluctance Motor; Doğrudan moment kontrolüne stator direncinin etkisinin incelenmesi ve sürekli mıknatıslı senkron motora uygulaması; Değişken Odaklı Optik Görüntüleme Sistemi Tasarımı ve Üretimi; Elektrikli Araçlar İçin Eksenel Akılı Çift Rotorlu Sabit Mıknatıslı Senkron Motor Tasarımı ve Analizi
Ayşe Mermutlu,Dr. Öğr. Üyesi,Sociology and Social Studies of Science and Technology,https://dergipark.org.tr/tr/pub/@amermutlu,4,Yaşlı Bireylerde Yaşlılık Algısı ve Ölüm Kaygısı; TÜRKİYE’DE SOSYAL DÜŞÜNCENİN ERKEN DÖNEM TEMSİLCİSİ OLARAK AHMET MİTHAT EFENDİ; RADİKAL FEMİNİST KURAM VE ANNELİK SÖYLEMİ; SAĞLIĞIN DİJİTAL YÖNETİMİ: ÖZTAKİP PRATİĞİ ÖRNEĞİ
Ayça Gülten,Doç. Dr.,"Mimari ve Tasarım, Kent Morfolojisi, Fiziksel Çevre Kontrolü",https://dergipark.org.tr/tr/pub/@ayca.gulten,4,CO2 Emission and Cost Analysis for Different Building  Elements and Insulation Materials Based on Optimum Insulation Thickness; Natural Ventilation Performance of Residential Urban Areas at Pedestrian Level: Comparison of Old and New Settlements; The Lifecycle Cost and CO2 Emission Analysis with the Building Information Modeling Applications; Yeşil Çatı Sistemlerinin Bina Isıtma ve Soğutma Yüküne Etkisinin  Farklı Bina Formları ve Derece Gün Bölgeleri İçin Analizi
