Name,Rank,Work Field,Website,Publication Count,Publications
Handan Karakaya,Doç. Dr.,Din Sosyolojisi,https://dergipark.org.tr/tr/pub/@h1977.,14,"POSTMODERN DÖNEMDE SOSYAL MEDYA ALANLARI ÜZERİNDE DİN; Yoksulluk Kavramı ve Yoksulluğun Kadınlaşmasını Besleyen Faktörler; TÜRKİYE’DE ULUSALCILIK, İSLAMCILIK VE MODERNİZM AÇISINDAN KADIN; Aile İçi İstismarda (Ensest) Çocukluklarının Gölgesinde Kadınlar; TÜRK SİNEMASINDA DİN ADAMI TİPLEMESİ; TÜRKİYE’DE DİNDAR BURJUVA VE KADIN; TÜRKİYE’DE MODERNLEŞME SÜRECİNDE MUHAFAZAKÂR/DİNDAR KADIN; “Erkeklik” ve Toplumsal Cinsiyet: Nitel Bir Araştırma; DİNLERİN BEDEN ALGISI VE KADIN BEDENİNİN DENETİMİ; Lise Döneminde Şiddet Algısı ve Nedenleri Üzerine Bir Saha Çalışması: Elazığ Örneği; TÜRKİYE’DE GÖÇ VE ETKİLERİ; TÜRK SİNEMASINDA MODERNLEŞME ALGISI, AKIMLAR VE DİN ADAMI TİPLEMESİ; YAŞANTISAL BİR AİLE TERAPİSTİ: VIRGINIA SATIR; TOPLUMSAL CİNSİYET ALGISI, DİN VE KADIN"
Faruk Polatcan,Doç. Dr.,"Eğitim, Türkçe Eğitimi",https://dergipark.org.tr/tr/pub/@farukp,9,Kavram Haritalarının Türkçe Dersinin Öğretiminde Öğrenci Başarısına Etkisiyle İlgili Öğrenci Görüşleri; İkinci Dil Olarak Türkçe Öğrenme Kaygısı Ölçeğinin Geliştirilmesi: Geçerlik ve Güvenirlik Çalışması; Kafkas Üniversitesindeki Türk Soylu Öğrencilerin Sorunlarının Değerlendirilmesi; ORTAOKUL TÜRKÇE DERS KİTAPLARINDAKİ BULMACA ETKİNLİKLERİNİN EŞ ANLAMLI KELİME ÖĞRETİMİ AÇISINDAN DEĞERLENDİRİLMESİ; The effect of secondary school students’ writing tendencies and self-efficacy on writing attitudes: A structural equation modeling; Ali Şir Nevâyî’nin Vakfiye adlı eserindeki eğitsel ögelerin incelenmesi; Yabancı Dil Olarak Türkçe Öğretiminde Kaygı Üzerine Yapılan Araştırmaların İncelenmesi; TÜRKÇE ÖĞRETMENİ ADAYLARININ BİLGİ VE KİTAP KAVRAMLARINA İLİŞKİN METAFORLARI; Türkçe Öğretmeni Adaylarının Bilgisayar Kullanımına ilişkin Tutum ve Görüşleri / Attitudes and Opinions of Prospective Turkish Teachers Regarding Computer Use
Musa Ünalan,Dr. Öğr. Üyesi,"Pazarlama Araştırma Metodolojisi, Uluslararası Pazarlama, Ürün ve Marka Yönetimi",https://dergipark.org.tr/tr/pub/@musaunalan,7,"DAĞITIM KANALLARINDA İLİŞKİ KALİTESİ VE İLİŞKİ SÜREKLİLİĞİ; Kış Avrupa Gençlik Olimpik Festivalinin Sosyo-Kültürel, Çevresel ve Ekonomik Etkisinin Belirlenmesi; MARKA GÜVENİ VE MARKA ÖZDEŞLEŞMESİNİN MARKA EVANGELİZMİ ÜZERİNDEKİ ETKİSİ; Marka İlişki Kalitesi ve İlişkisel Normların Davranışsal Niyet Üzerindeki Etkisi; Ülke Markalama Bileşenleri ile Rekabetçi Avantaj Arasındaki İlişki; ZAMAN ORYANTASYONU İLE TÜKETİCİ YENİLİKÇİLİĞİ ARASINDAKİ İLİŞKİ:  TÜRKİYE VE İRAN ÖRNEĞİ; MOBİL ALIŞVERİŞ UYGULAMALARININ KULLANIMINI ETKİLEYEN FAKTÖRLER VE BU FAKTÖRLERİN MEMNUNİYET VE KULLANMA NİYETİ ÜZERİNDEKİ ETKİSİ"
Semih Dikmen,Öğretim Görevlisi,"Eğitim Programları ve Öğretim, Eğitimde Program Geliştirme",https://dergipark.org.tr/tr/pub/@semihdikmen,2,Üniversite Öğrencilerinin Öğrenmeye Yönelik Tutumlarının İncelenmesi; Covid-19 Pandemisi Sürecinde Yükseköğretim Kurumlarının Uzaktan Eğitime Yönelik Stratejileri: Fırat Üniversitesi Örneği
Hakan Kalender,Prof. Dr.,Veteriner Mikrobiyolojisi,https://dergipark.org.tr/tr/pub/@hkalender,3,"Enfeksiyöz Nekrotik Hepatitis Aşısının Üretiminde Poli (D, L-Laktik-Ko-Glikolik Asit) (PLGA) Biyopolimerinin Adjuvant Etkisinin Araştırılması; Sütçü Sığırlardan İzole Edilen Escherichia coli O157:H7 Suşlarında Virulans Genlerinin Varlığının Araştırılması; Pathological and molecular findings of visceral gout caused by Israel variant 2 (IS/1494/06) genotype of infectious bronchitis virus in chickens"
Seda Aktı Aslan,Doç.,"Eğitim, Eğitim Programları ve Öğretim",https://dergipark.org.tr/tr/pub/@sed23,12,"DİJİTAL EBEVEYNLİK TUTUMU İLE ÇOCUKLARIN GÜVENLİ İNTERNET KULLANIMLARI ARASINDAKİ İLİŞKİ ÜZERİNE BİR İNCELEME; Öğretmenlerin Benimsedikleri Eğitim Felsefelerinin Çeşitli Değişkenler Açısından İncelenmesi; Bilişim Teknolojileri Rehber Öğretmeni Olmak: Beklentiler ve Mesleki Roller; Çocuk Gelişimi Öğrencilerinin Uzaktan Eğitime Yönelik Algılarının Metaforlar Yoluyla Belirlenmesi; Çocukların Medya Okuryazarlık Düzeylerinin ve Kullanım Alışkanlıklarının Demografik Değişkenler Açısından İncelenmesi; Thematic Content Analysis of Blended Learning Studies in the Field of Mathematics Education; The effect of flipped classroom approach on learning achievement, online self-regulation and interaction in synchronous distance education; Türkçe Dersi Öğretim Programının 5., 6., 7. ve 8. Sınıf Kazanımlarının SOLO Taksonomisine Göre İncelenmesi; Bilişim Teknolojileri ve Yazılım Dersinde Probleme Dayalı Öğrenme Yaklaşımının Öğrencilerin Akademik Başarılarına Etkisi; 8. Sınıf Fen Ve Teknoloji Programı “Hücre Bölünmesi Ve Kalıtım” Ünitesinin Kazanımlarına Ulaşma Düzeyinin Değerlendirilmesi; Ortaokul İngilizce Öğretim Programının Öğretmen Görüşlerine Göre Bağlam, Girdi, Süreç Ve Ürün (CIPP) Modeli İle Değerlendirilmesi; Examining the relationship between teachers’ lifelong learning tendencies and digital literacy levels"
Mehmet Saltuk Arıkan,Doç. Dr.,"Veteriner Bilimleri, Hayvan Sağlığı Ekonomisi ve İşletmeciliği",https://dergipark.org.tr/tr/pub/@msarikan,4,Forecasting of Bull Carcasses Prices for the Future with Box-Jenkins Models: The Case of Tokat Province; Kırsalda girişimcilik örneği: uzman eller projesi ile desteklenen hayvancılık işletmelerinin sosyo-ekonomik analizi; Türkiye’de ithalat kararlarının kırmızı et sektörüne etkisi; Economic analysis of aquaculture enterprises and determination of factors affecting sustainability of the sector in Turkey
Nurcan Yücel,Doç. Dr.,Bilim ve Teknoloji Sosyolojisi ve Sosyal Bilimler,https://dergipark.org.tr/tr/pub/@nyucel,22,"Havayolu Marka Kişiliği Algısının Geleneksel ve Nöropazarlama Yöntemleri İle Karşılaştırılmasına Yönelik Bir Uygulama; Pazarlama Kültürü, İhracat Pazarlama Stratejileri ve İhracat Performansı Arasındaki İlişkinin Nitel Analiz Yöntemi İle İncelenmesi; HİZMET PAZARLAMASINDA İÇ MÜŞTERİ TATMİNİ; BANKA ÇALIŞANLARI ÖRNEĞİ; NATO PROPAGANDA POSTERLERİNİN EYE TRACKING VE GSR YÖNTEMLERİ İLE ANALİZ EDİLMESİ; KAMUDA GİRİŞİMCİLİK UYGULAMALARI: ELAZIĞ İLİ KAMU KURULUŞLARI İÇİN NİTEL BİR ARAŞTIRMA; AĞIZDAN AĞZA İLETİŞİM: TÜRKİYE’YE GELEN HOLLANDALI VE BELÇİKALI TURİSTLERİN KONAKLAMA İŞLETMELERİNE YÖNELİK YORUMLARININ İNCELENMESİ; MARKA KİŞİLİĞİ ALGISI: SOSYAL MEDYA MARKALARI ÜZERİNE ÜNİVERSİTE ÖĞRENCİLERİNE YÖNELİK BİR ARAŞTIRMA; PAZARLAMADA YENİ EĞİLİMLER AÇISINDAN NÖROPAZARLAMA VE ALGI YÖNETİMİ ÜZERİNE BİR ARAŞTIRMA; ORTAÖĞRETİM KURUMLARINDA GÖREV YAPAN ÖĞRETMENLERİN TÜKETİCİ YENİLİKÇİLİĞİ ALGILARININ İNCELENMESİ: ELAZIĞ İLİ ÖRNEĞİ; SİNİR BİLİMİN PAZARLAMA DÜNYASINA ARMAĞANI: NÖROPAZARLAMA DENEYSEL ARAŞTIRMALARI; Müşteri Duyarlılığını Keşfetmek İçin Yapay Zeka Destekli Analiz ile Çevrimiçi Ürün İncelemelerinden Anlamlı Bilgiler Elde Etme; SPOR PAZARLAMASINDA MARKA DEĞERİ VE TARAFTAR SADAKATİNİN İNCELENMESİ: FIRAT ÜNİVERSİTESİ ÖĞRENCİLERİ ÜZERİNE BİR UYGULAMA; YEŞİL PAZARLAMAYA TÜKETİCİ GÖZÜYLE BAKMAK: EYE-TRACKİNG ÇALIŞMASI; VİRAL PAZARLAMA KAPSAMINDA HAVAYOLU İŞLETMELERİ MÜŞTERİLERİNİN ŞİKÂYETLERİNİN İNCELENMESİ ÜZERİNE BİR ARAŞTIRMA; TURİZM SEKTÖRÜNDE DİJİTAL PAZARLAMA: ELAZIĞ İLİ OTELLERİNİN WEB SİTELERİNİN EYE-TRACKİNG İLE ANALİZİ; HİBRİT İLETİŞİM TEKNOLOJİLERİ; Review Mate: A Cutting-Edge Model for Analyzing the Sentiment of Online Customer Product Reviews using ML.NET; ŞEHİR MARKALAŞMASINDA SOSYAL MEDYA ARAÇLARININ ROLÜ: ELAZIĞ İLİ ÖRNEĞİ; FIRAT ÜNİVERSİTESİ ÖĞRETİM ELEMANLARININ ÜNİVERSİTE-SANAYİ İŞBİRLİĞİNE YÖNELİK GÖRÜŞLERİNİN DEMOGRAFİK ÖZELLİKLERİ AÇISINDAN DEĞERLENDİRİLMESİ; Nöropazarlama Pespektifinden Retropazarlama Reklamlarının İncelenmesi: Nestle Markası Örneği; Reklam Çekiciliğinin ve Reklam Stratejilerinin Farklı Cinsiyetlerde Yarattığı Algının Dezenfektan  Reklamları Üzerinden Değerlendirilmesi; NÖROPAZARLAMA AÇISINDAN BİLGİLENMİŞ KULLANICILARIN KARAR SÜRECİ ÜZERİNDE KOKU ETKİSİNİN ÖLÇÜMLENMESİ"
Eyüp Bozkurt,Bilinmiyor,"Temel Eğitim, Beden Eğitimi ve Oyun",https://dergipark.org.tr/tr/pub/@eyupbozkurt,9,"Sınıf Öğretmeni Adaylarının Pandemi Dönemindeki Bilişim Etiklerinin Belirlenmesi; Sınıf Öğretmenlerinin Beslenme Alışkanlıklarının  İncelenmesi; İLKÖĞRETİM SINIF ÖĞRETMENLERİNİN BEDEN EĞİTİMİ DERSİNE İLİŞKİN GÖRÜŞLERİ; Avrupa Birliği Ülkelerinden İngiltere, Almanya, İsveç ve Fransa’nın Değerler Eğitimine Yönelik Bir Derleme Çalışması; Matematiğe Karşı Tutum ve Matematik Öz Yeterlik İnancı Arasındaki İlişkiye Dair Sınıf Öğretmeni Adaylarının Görüşlerinin İncelenmesi; İlkokul Matematik Dersinde Kullanılan Yardımcı Kaynak Kitaplara İlişkin Sınıf Öğretmenlerinin Görüşleri; SINIF ÖĞRETMENİ ADAYLARININ KOMPOZİSYON YAZMA BECERİLERİNİN İNCELENMESİ; SINIF ÖĞRETMENLERİNİN ZEKÂ OYUNLARINA İLİŞKİN TUTUMLARININ, BİLME DÜZEYLERİNİN VE KULLANIM SIKLIKLARININ İNCELENMESİ; Oyunlarla Matematik Öğretimine İlişkin Sınıf Öğretmenlerinin Görüşleri"
Yunus Santur,Dr. Öğr. Üyesi,"Görüntü İşleme, Algoritmalar ve Hesaplama Kuramı, Makine Öğrenme, Veri Madenciliği ve Bilgi Keşfi, Yapay Zeka, Doğal Dil İşleme, Bilgisayar Yazılımı",https://dergipark.org.tr/tr/pub/@yunussantur,8,A web scraping-based approach for fundamental analysis platform in financial assets; A New moving average approach to predict the direction of stock movements in algorithmic trading; Deprem Analizi için Zaman Serileri ve Veri Bilimi Ön İşleme Yaklaşımları; Algoritmik İşlemler İçin Derin Öğrenme Tabanlı Regresyon Yaklaşımı: BİST30 Örneği; An Artifical Management Platform Based on Deep Learning Using Cloud Computing for Smart Cities; Finansal Piyasalarda Algoritmik Ticaret İçin Genetik Algoritma Temeli Yaklaşım; Derin Öğrenme ve Aşağı Örnekleme Yaklaşımları Kullanılarak Duygu Sınıflandırma Performansının İyileştirilmesi; A New Algorithmic Trading Approach Based on Ensemble Learning and Candlestick Pattern Recognition in Financial Assets
Mukadder Boydak Özan,Prof. Dr.,Eğitim Yönetimi,https://dergipark.org.tr/tr/pub/@mukadder,38,"The Power of Expectations in School Management: Pygmalion Effect; Okul Yöneticilerinin Gözünden Geçmişten Günümüze Denetim; Eğitim Kurumlarında Sosyal Kaytarma; Üniversitelerde Yetenek Havuzu Oluşturmaya Yönelik Bulanık Mantık Temelli Bir Model Önerisi; İLKÖĞRETİM KURUM YÖNETİCİLERİNİN İZLENİM YÖNETİMİ; Okul Yöneticilerinin İletişim Becerilerinin Geliştirilmesinde Modül Temelli Uygulamalar; SİVİL TOPLUM KURULUŞLARININ EĞİTİMDEKİ YERİ; PYGMALION ETKİSİ VE LİDERLİK; Öğrenen Örgüt Olarak Eğitim Kurumlarında Örgütsel Değişim Yönetimi; Öğretmen Performans Değerlendirme Taslağı: Görüşler, Yansımalar, Değerlendirmeler; Öğretmenlerin Yaşadıkları Yıldırma Durumlarının İncelenmesi; NORMAL (TAM GÜN) EĞİTİME GEÇİŞE İLİŞKİN YÖNETİCİ GÖRÜŞLERİ; OKUL YÖNETİCİLERİNİN DERSHANE DÖNÜŞÜMÜNE İLİŞKİN GÖRÜŞLERİ; ÖĞRETMENLERİN YAŞADIKLARI YILDIRMA EYLEMLERİNİN ÇEŞİTLİ DEĞİŞKENLERE GÖRE İNCELENMESİ; Türk Eğitim Sisteminde Fırsat ve İmkân Eşitliğine İlişkin Öğretmen Görüşleri; Pedagojik Formasyon Eğitimi Almakta Olan Öğretmen Adaylarının Pedagojik Formasyona İlişkin Metaforik Algıları; ETİK KODLARA İLİŞKİN OKUL YÖNETİCİLERİNİN GÖRÜŞLERİ VE ETİK KOD ÖNERİLERİ; Mentor-Menti İlişkisi ve Etik; Sınıf Öğretmenlerinin Lisans Eğitimlerine İlişkin Görüşleri; ÖĞRETMENLERİN ÇOK KÜLTÜRLÜ EĞİTİM ve ANADİLDE EĞİTİM HAKKINDAKİ GÖRÜŞLERİNİN İNCELENMESİ; OKUL YÖNETİCİLERİNİN YETERLİLİKLERİNE İLİŞKİN ÖĞRETMEN GÖRÜŞLERİ; Yetenek Yönetimi Kapsamında Doktora Öğrencilerinin Akademik Potansiyel ve Performansının Değerlendirilmesi; EĞİTİM KURUMLARINDA LİDERLİKTE YENİ YÖNELİMLERE DOĞRU “HOLİSTİK LİDERLİK”: ÖLÇEK GELİŞTİRME ÇALIŞMASI; OKUL YÖNETİCİLERİNİN ADAY ÖĞRETMENLİK SÜRECİ İLE İLGİLİ GÖRÜŞLERİ; YATILI İLKÖĞRETİM BÖLGE OKULLARINDA PANSİYON YÖNETİMDE KARŞILAŞILAN SORUNLAR (Malatya - Diyarbakır İli Örneği); ÜCRETLİ ÖĞRETMENLERİN ÖRGÜTSEL SOSYALLEŞMESİ ÜZERİNE BİR ÇALIŞMA; Okullarda Karşılaşılan Örgüt Yanlısı Etik Olmayan Davranışlar Hakkında Öğretmen Görüşleri; Bilim ve Sanat Merkezi Öğrencilerinin COVID-19 Salgını Sürecinde Uzaktan Eğitime Yönelik Algıları: Bir Metafor Analizi; YETENEK YÖNETİMİ SÜRECİNDE DOKTORA ÖĞRENCİLERİNE YÖNELİK AKADEMİK POTANSİYEL DEĞERLENDİRME KRİTERLERİ ÖLÇEĞİ: GEÇERLİK VE GÜVENİRLİK ÇALIŞMASI; İNSAN KAYNAKLARININ GELİŞTİRİLMESİ BOYUTUNDA OKUL YÖNETİCİLERİNİN ROLÜ; İLKÖĞRETİM MÜFETTİŞLERİNİN UNVANLARINDA YAPILAN DEĞİŞİKLİĞİN İŞ DOYUMU VE MOTİVASYONLARINA ETKİSİ; ÖĞRENCİLERİN SINAV KAYGILARININ ÖĞRENMELERİ ÜZERİNDEKİ ETKİLERİ; Öğretmenlerin Değer Yargılarının Okul Paydaşları Üzerindeki Etkisine Yönelik Yönetici Görüşleri; Akademisyenlerin Yetenek Yönetimi Algısı; ÖĞRENİM GÖRÜLEN OKUL TÜRÜNE GÖRE YÖNETİCİLERİN ÖĞRENCİLERE DEĞER KAZANDIRMA; Relatıons Between Error Management Culture, Work Engagement And Organizational Creativity; BİLGİ ÇAĞINDA ÖĞRETMENLERİN BİLGİSAYAR KULLANMAYA YÖNELİK TUTUMLARI (Elazığ İli Örneği); Hata Yönetimi Kültürü Ölçeğinin Geliştirilmesi: Geçerlik ve Güvenirlik Çalışmaları"
Yunus Emre Karakaya,Prof. Dr.,"Spor Sosyolojisi, Beden Eğitimi ve Oyun, Beden Eğitimi ve Spor Pedagojisi, Engelliler için Beden Eğitimi, Spor ve Fiziksel Aktivite, Spor Tarihi",https://dergipark.org.tr/tr/pub/@emre2323,14,"Mapping Tendencies in Curriculum Research on Physical Education and Sports: A Bibliometric Analysis; SPOR EĞİTİMİ KURUMLARINDA GÖREV YAPAN AKADEMİK PERSONELİN UZAKTAN EĞİTİME YÖNELİK GÖRÜŞLERİ: NİTEL BİR ÇALIŞMA; Use of Websites with Educational Content: A Study on Students of Sports Sciences; SPOR BİLİMLERİ ALANINDAKİ ÖĞRETİM ELEMANLARININ GÖRÜŞLERİNE GÖRE LİSANSÜSTÜ EĞİTİMDE KALİTE YÖNETİMİ: NİTEL BİR ÇALIŞMA; ERKEN DÖNEM TÜRK TARİHİNDEN II. MEŞRUTİYET’E KADAR SPOR KULÜPLERİNİN MODERNLEŞME SÜRECİ; SPOR ORGANİZASYONLARINDA GÖNÜLLÜLÜK FAALİYETLERİNİN YÖNETİM STRATEJİLERİ VE UYGULAMALARI; Öğretmen Adaylarının Tükenmişlik Düzeyleri ve Öğretmenlik Mesleğine Yönelik Tutumlarında Öğretme Motivasyonunun Aracılık Rolü; Beden Eğitimi ve Spor Öğretmenliği Bölümlerinde Görev  Yapan Öğretim Elemanlarının Öğretme Yaklaşımlarına  İlişkin Görüşleri; BEDEN EĞİTİMİ VE SPOR ÖĞRETMENİ ADAYLARININ EPİSTEMOLOJİK İNANÇLARI İLE ÖZ-YETERLİKLERİ ARASINDAKİ İLİŞKİNİN İNCELENMESİ; Spor Bilimleri Alanında Eğitim Alan Öğrencilerin  Kariyer Geleceklerine Yönelik Tutumları; Çocuk Hikâye Kitaplarında Spor ve Sağlıklı Yaşam Temasının İncelenmesi; SPOR LİSESİ ÖĞRENCİLERİNİN GÖRÜŞLERİNE GÖRE AKADEMİK BENLİK YETERLİKLERİNİN İNCELENMESİ; Spor Eğitimi Alan Ortaöğretim Öğrencilerinin Bilgi, Medya ve Teknoloji Yeterlilikleri; Spor eğitimi alan öğrencilerin geleceğe ilişkin tutumlarının araştırılması"
Ali Kaya Gür,Prof. Dr.,"Kaynak Teknolojileri, Malzeme Mühendisliği, Kaplama Teknolojisi, Kompozit ve Hibrit Malzemeler, Malzeme Karekterizasyonu, Metaller ve Alaşım Malzemeleri , Toz Metalurjisi",https://dergipark.org.tr/tr/pub/@akgur,12,"N2 GAZI ORANININ KAPLAMA TABAKASININ AŞINMA DAVRANIŞINA ETKİSİ; Ramor 500 Zırh Çeliğinin Tozaltı Kaynak Yöntemi İle Birleştirilmesinde Tel İlerleme Hızının Kaynak Metalindeki Nüfuziyet Dengesinin İncelenmesi; Ramor 500 Zırh Çeliğinin Tozaltı Kaynak Yöntemi İle Birleştirilmesinde Gerilimin Etkisi; 85/15 Bronz Kompozitinde Ni İlavesinin Üretim Parametrelerinde Elektriksel İletkenliğe Etkisi; PTA Kaplamalarda Abrasive Aşınma Davranışının Değerlendirilmesinde; Bir Taguchi Yaklaşımı; AISI 4142 ÇELİĞİNİN ELEKTRİK ARK KAYNAĞI İLE YÜZEY MODİFİKASYONU SONRASI SERTLİK VE MİKROYAPININ İNCELENMESİ; PTA YÖNTEMİYLE FeCrC KAPLANMIŞ St-37 ÇELİĞİNİN AŞINMA ÖZELLİKLERİ; METALİK BİYOMALZEMELER VE BİYOUYUM; AŞINMA SİSTEMLERİ; Ramor 500 Çeliğinde Isıl İşlemin Mikroyapı, Mikrosertlik ve Abrasiv Aşınma Direncine Etkisinin Taguchi Metoduyla Değerlendirilmesi; Mikroalaşımlı Hardox 400 Çelik Yüzeyinin Plazma Transferli Ark Kaynak Yöntemiyle Alaşımlandırılması ve İncelenmesi; Ni/Ti TOZLARININ PTA YÖNTEMİYLE AISI 1020 YÜZEYİNDEKİ KAPLAMALARININ MİKROYAPI ÖZELLİKLERİ"
Cevdet Emin Ekinci,Dr. Öğr. Üyesi,"Yapı Malzemeleri, Betonarme Yapılar, Yapım Teknolojileri, İnşaat Mühendisliği",https://dergipark.org.tr/tr/pub/@cee.23,27,"YAPI BİYOLOJİSİ BÖLÜM II: KENT VE KENTLEŞME; ENJEKSİYON YÖNTEMİYLE ÜRETİLEN GRANÜLE YAPILI FERROKROM CÜRUFU KATKILI BETONLARIN FİZİKSEL ÖZELLİKLERİNİN ARAŞTIRILMASI; SİLİS DUMANI KATKILI BETONLARIN DONMA-ÇÖZÜLME DAYANIMLARININ İNCELENMESİ; Kentsel Dönüşüm Süreci, Yöntem ve Tekniklerin İncelenmesi: Elazığ İli Örneklemi; BİYOHARMOLOJİ; Examination of Urban Transformation Implementation Legislation: Elazığ Example; Zeminlerinin Mühendislik Özelliklerinin Belirlenmesi Üzerine Bir Çalışma; YAPILARDA RADON FENOMENY; YAPI BİYOLOJİSİ BÖLÜM I: YAPI BİYOLOJİSİ VE FİZİĞİ; BEDENSEL ENGELLİLER AÇISINDAN BİR EĞİTİM KURUMUNUN ULAŞILABİLİRLİK VE KULLANILABİLİRLİĞİNİN İNCELENMESİ; TERAS ÇATILARDA SU VE ISI YALITIMININ ÖNEMİ; BETONARME TEMEL VE BODRUM PERDELERİNDE SU-NEM YALITIMININ ÖNEMİ; THE BIOHARMOLOGY REALITY TO HEALTHY HOUSING PRODUCTION; Elazığ ve Malatya’da Bazi İlköğretim Binalarının Isıl Konfor ve Koruma Değerlendirmesi; Lignin sülfonat esaslı yapı kimyasalların taze ve sertleşmiş betona olan etkilerinin incelenmesi; ZEMİNLERİN PERMEABİLİTE KATSAYISI VE KONSOLİDASYON ÖZELLİKLERİ ÜZERİNE BİR ÇALIŞMA: ELAZIĞ ÖRNEĞİ; THE CALCULATION METHODS OF COMPOUND OF CONCRETE AND A NOVEL CALCULATION METHOD; ETKİLİ VE VERİMLİ EĞİTİM İÇİN DERSLİKLERİN FİZİKİ ORTAM ÖZELLİKLERİNİN İNCELENMESİ; YAPILAR NASIL HASTALANIR?; BİR KAMU İDARİ HİZMET BİNASININ MÜHENDİSLİK ÖZELLİKLERİNİN İNCELENMESİ; YAPI BİYOLOJİSİ BÖLÜM III: TAŞIYICI SİSTEM VE YAPI ÜRETİM TEKNİKLERİ; Savunma ve Sığınma Yapılarında KBRN Tehditlerine Karşı Betonların Zırhlanması; ALIŞVERİŞ MERKEZLERİNİN KIŞ ŞARTLARI İÇİN BİYOHARMOLOJİK ÖZELLİKLERİNİN İNCELENMESİ; ZEMİN GERİLMELERİNİN SAYISAL GERİLME ÇÖZÜMLEMESİ YÖNTEMİYLE TAHMİNİ; Bina sertifikalandırma yöntemleri ve önerilen yeni bir yöntem: biyoharmolojik uygunluk değerlendirme; SAGLIKLI KENTLESME SÜRECI ESASLARI; KOLEMANİT KATKILI VE POMZA AGREGALI HAFİF BETONLARIN YÜKSEK SICAKLIK ALTINDAKİ BASINÇ MUKAVEMETİ ÖZELLİĞİNİN TAHRİBATSIZ YÖNTEMLE İNCELENMESİ"
Erkan Turan Demirel,Prof. Dr.,"Sağlık Yönetimi, İnsan Kaynakları Yönetimi, Strateji, Yönetim ve Örgütsel Davranış, Strateji",https://dergipark.org.tr/tr/pub/@fordist,2,HASTA GÖRÜSLERİNE GÖRE OLUŞAN KURUM ÜNÜ İLE HASTA TUTUM VE DAVRANISLARI ARASINDAKİ İLİŞKİNİN İNCELENMESİ: TURGUT ÖZAL TIP MERKEZİ ÖRNEĞİ; Seçilmişler Hükümdara Dönüşüyor Mu?: Yerel Siyasetçilere Yönelik Hükümdar Liderlik Ölçeği Geliştirme Çalışması
Erkut Yalçın,Doç. Dr.,Ulaştırma Mühendisliği,https://dergipark.org.tr/tr/pub/@erkut23,19,"Saf ve Modifiye Bitümlerin Farklı Frekans ve Sıcaklıklardaki Reolojik Özelliklerinin İncelenmesi; A novel design for concrete culverts absorbing explosive energy from homemade explosives; Investigation of rheological properties of aged polymer modified binders; Selenizza doğal asfaltının bitümlü bağlayıcının geleneksel ve reolojik özelliklerine etkisi; EVA BAZLI REÇİNE VE SBS MODİFİYELİ BİTÜMLERİN BAĞLAYICI MADDE OLARAK KARŞILAŞTIRILMASI; Farklı gençleştiricilerle modifiye edilmiş bitümlü bağlayıcıların fiziksel, kimyasal ve reolojik özelliklerinin araştırılması; EVA Bazlı Reçine Modifiyeli Bitümlü Karışımların Mekanik Özellikler Bakımından SBS Modifikasyonu ile Karşılaştırılması; Farklı çentik derinliklerine sahip asfalt karışımlarının orta sıcaklıklarda kırılma özelliklerinin incelenmesi: Sonlu elemanlar yaklaşımı; Hibrit polimerlerle modifiye edilmiş bitümlü bağlayıcıların reolojik özelliklerinin incelenmesi; Magnezyum lignosülfonat modifiyeli bitümün akış özelliklerinin ve aktivasyon enerjisinin araştırılması; Farklı Polimerlerle Modifiye Edilmiş Asfalt Bağlayıcıların MSCR Testi Kullanarak Yüksek Sıcaklık Performanslarının Değerlendirilmesi; INVESTIGATION OF THE EFFECT OF CARBONATION CAKE ON RHEOLOGICAL PROPERTIES OF BITUMINOUS BINDERS; Dynamic-Mechanic Analysis and Rheological Modelling of Waste Face Mask Modified Bitumen; İki Farklı Düşük Yoğunluklu Polietilen (LDPE) Plastik Atığın Bitüm Modifikasyonunda Kullanımı; Atık Madeni Yağ İçeren Kapsüllerin Bitümlü Sıcak Karışımların Mekanik Özelliklerine Etkisi; Elvaloy ve Polifosforik Asitle Modifiye Edilmiş Bitümün Fiziksel ve Reolojik Özelliklerinin İncelenmesi; Irak ve Batman Bitümleri Kullanılan SEBS Modifiyeli Bağlayıcıların Reolojik Özelliklerinin İncelenmesi; EVA Bazlı Reçine Modifikasyonun Reolojik Özellikler Bakımından SBS Modifikasyonunu ile Karşılaştırılması; ÖĞÜTÜLMÜŞ ARAÇ LASTİĞİNİN VE PİROLİZ İŞLEMİNDEN SONRA OLUŞAN KARBON SİYAHININ BİTÜMLÜ BAĞLAYICILARIN REOLOJİK ÖZELLİKLERİ ÜZERİNDEKİ ETKİSİ"
